"","Proteobacteria","Actinobacteria","Bacteroidetes","Firmicutes","Chloroflexi","GN02","Chlorobi","Cyanobacteria","Gemmatimonadetes","unclassified","Acidobacteria","TM7","Verrucomicrobia"
"BBE",0.984083898827884,0.00148056755089451,0.0101789019123998,0.00067859346082665,0,0.00185070943861814,NA,0.0013571869216533,NA,6.16903146206046e-05,6.16903146206046e-05,NA,0.000185070943861814
"BBW",0.058934366167696,0.90819637810112,0.0081649743536062,NA,0.000837433267036533,NA,0.00334973306814613,0.0113053491049932,0.00491992044383963,NA,0.000104679158379567,0.000732754108656966,0.00115147074217523
"BRE",0.831715903144475,0.00468579040007611,0.103563103563104,0.0131297274154417,4.75714761429047e-05,0.000190285904571619,NA,0.0383901812473241,NA,4.75714761429047e-05,9.51429522858094e-05,NA,0.0065886494457923
"BRW",0.282345471860687,0.373429776427373,0.1332025758469,NA,0.00188200081628951,NA,0.0413926806040542,0.137839553761734,0.00387737517572899,NA,5.66867715749853e-05,0.000226747086299941,0.0143871026257313
"CBE",0.736744616809447,0.0428339893493864,0.0351933317897661,0.0185228062051401,0.0324149108589951,0.000926140310257004,NA,0.0858995137763371,NA,0.00995600833526279,0.00463070155128502,NA,0.0266265339198889
"CBW",0.441905083948367,0.321392866594137,0.134523214443236,NA,0.00176423887794407,NA,0.000536622658707989,0.0757667088123732,0.00219794760210533,NA,0.000220529859743009,0.00413125937251904,0.00495457084889294
"EUE",0.36655355266219,0.00466093876601446,0.48729673573841,0.100655419444378,0.000713982014071061,0.00335330878518768,NA,0.0338780454541808,NA,7.22004283892084e-05,0.000946627838880733,NA,0.000842338331207432
"EUW",0.358917277545432,0.449994877001462,0.031622872791289,NA,0.0283720973556013,NA,0.000251492655483006,0.0450264998742537,0.00167661770322004,NA,0.0161234735792994,0.0125653182313546,0.0211253830605725
"FRE",0.832630427991253,0.0342861605748204,0.0110121836925961,0.0224148703530147,0,0,NA,0.0837238363011559,NA,0,0.000859106529209622,NA,0.0121055920024992
"FRW",0.427316030057484,0.434421946047897,0.10908752350118,NA,0.0143680059586379,NA,0.000378421561619644,0.00228854944408071,0.000180200743628402,NA,8.4093680359921e-05,0.000516575465068086,0.00399444981709625
"IJE",0.605120742189276,0.00550275137568784,0.167629269180045,0.00277411432989222,0.000227386420482969,0.00527536495520488,NA,0.194870162353904,NA,0.00136431852289781,9.09545681931875e-05,NA,0.0152348901723589
"IJW",0.340832779396976,0.527066182611512,0.100569276133013,NA,0.0102350394573128,NA,0.000409060694380529,0.00578650440592456,0.000383494400981746,NA,0.000221574542789453,0.0004516711833785,0.00394573128121218
"LOE",0.758479300794878,0.00118692227457469,0.0863216199690681,0.00647412149768011,0.000467575441499119,0.019961874617847,NA,0.00701363162248678,NA,0.000107902024961335,0.00240981189080315,NA,0.115922742150128
"LOW",0.349294779998823,0.52354983620064,0.0697896436955228,NA,0.00906291072444436,NA,0.00124239035905081,0.00362254873112711,0.0225068821886995,NA,0.00587192917067174,0.00154971850050023,0.00408027149498794
"MAE",0.67392904460474,0.0138377741793022,0.180185485058148,0.0105991461798911,0.00323862799941116,0.00235536581775357,NA,0.0566759899896953,NA,0,0.00206094509053437,NA,0.0549094656263801
"MAW",0.362097434589414,0.373944503362822,0.208978265830772,NA,0.0102831214509135,NA,0.0017183283886644,0.00133573183337584,0.00202037830073432,NA,0.00227544267092669,0.00560470392396397,0.00947765501872709
"MME",0.639706520795346,0.00464530693757055,0.27815403316836,0.00308239993053747,0.000781453503516541,0.00247460276113571,NA,0.0571763480072936,NA,4.34140835286967e-05,0,NA,0.00968134062689937
"MMW",0.367067189798921,0.522878862187347,0.0517900931829328,NA,0.0148111819519372,NA,0.000220696419813634,0.0257233938205002,0.00169200588523786,NA,0.000784698381559588,0.00228052967140755,0.00154487493869544
"POE",0.889758150175668,0.00780292507557807,0.0340509845575619,0.0109894599231963,0.00104175177710597,0.00694501184737315,NA,0.0134202140697769,NA,0.00126644333687393,0.00089876623907182,NA,0.0314772448729471
"POW",0.0526568721680626,0.750377591651792,0.018193052313607,NA,0.00556089523547988,NA,6.86530275985171e-05,0.148221886585198,0.00459975284910065,NA,0.017918440203213,0.000137306055197034,0.00116710146917479
"RME",0.926455471451266,0.00163536118119802,0.0619568264648164,0.000467246051770863,9.34492103541725e-05,0.00322399775721895,NA,0.00140173815531259,NA,9.34492103541725e-05,0.000140173815531259,NA,0.00420521446593776
"RMW",0.44011520051302,0.464414950873737,0.0632171403705655,NA,0.0262235760254678,NA,2.86283581064059e-05,0.00302888028765774,4.58053729702494e-05,NA,1.14513432425624e-05,0.000687080594553741,0.000332088954034308
"SCE",0.786093007842704,0.00246695386428072,0.181413159541957,0.0106594499061085,0.000828454655915166,0.00364520048602673,NA,0.00196988107073162,NA,0.000110460620788689,0,NA,0.000478662690084318
"SCW",0.39075272052555,0.419637931899102,0.146657640038112,NA,0.000225665713855875,NA,0.0015044380923725,0.00152951206057871,0.00561656887819066,NA,0.00235695301138358,0.00594253046487137,0.00157965999699112
"TXE",0.490737072312642,0.000787097932943482,0.397965166954565,0.065672493304385,6.33904375524952e-05,0.0194344516463025,NA,0.020564914449322,NA,1.05650729254159e-05,7.9238046940619e-05,NA,0.00133648172506511
"TXW",0.357533480786525,0.44697761466106,0.143742556449457,NA,0.000461803952069611,NA,0.00284374012590234,0.0260068541428676,0.000583331307877403,NA,0.000364582067423377,0.00126388450040104,0.011836764455679
"VIE",0.846704973322151,0.00215028819215189,0.139492139402916,0.00163279144881243,0.000553186173914595,0.00236442477560271,NA,0.00549617230857082,NA,9.81459340816217e-05,0,NA,0.000883313406734596
"VIW",0.160939531439691,0.597840593062001,0.231722962210379,NA,2.58302265310867e-05,NA,0,0.000318572793883402,2.58302265310867e-05,NA,0,0.0047183213796785,1.72201510207245e-05
